Edad,Ingreso Mensual,Calificacion,Modalidad Escolar,Dependientes,Recurses,Nivel economico,Becas Adicionales,Beca Valida
27,22716.53,7.49,1,0,14,3,1,0
20,29003.99,9.27,0,0,6,3,0,0
21,7429.39,7.45,1,2,0,1,1,1
20,15131.69,8.56,0,2,1,1,1,1
28,4286.31,8.69,0,0,5,1,1,1
22,9269.21,9.52,1,0,3,1,0,1
20,10834.04,8.54,1,1,18,1,1,0
19,26767.55,8.66,1,1,11,2,2,1
28,26991.7,8.54,1,0,11,3,2,0
28,27212.05,8.31,1,0,10,3,2,0
20,3533.95,6.23,0,1,18,1,0,0
24,7759.67,9.1,1,2,9,1,2,1
22,28562.03,7.31,0,0,19,3,0,0
21,9514.29,6.02,0,0,7,2,2,0
20,18093.17,7.24,0,1,3,2,0,0
21,19448.78,9.79,0,2,15,1,1,0
20,11872.79,6.96,0,0,4,2,0,0
21,16558.02,6.1,1,1,3,1,1,0
20,21998.95,9.25,1,1,3,2,1,1
26,22904.01,8.71,1,0,7,3,0,0
21,22394.97,7.61,1,0,14,3,0,0
20,368.41,6.45,1,1,14,1,2,0
23,5744.5,6.68,0,0,0,1,0,1
25,25097.66,8.74,1,1,0,2,2,0
26,24601.93,6.76,0,1,0,2,0,1
